"","Date","Activity","Duration","Distance","Steps","Calories"
"441","2014-11-21","transport",3574,9.615,0,0
"442","2014-11-22","walking",1041,0.807,1620,64
"443","2014-11-22","transport",1004,3.188,0,0
"444","2014-11-23","walking",633,0.368,844,29
"445","2014-11-24","walking",2750,1.906,4019,152
"446","2014-11-24","transport",4771,14.959,0,0
"447","2014-11-25","walking",2345,1.629,3395,130
"448","2014-11-25","transport",3572,9.15,0,0
"449","2014-11-26","walking",3758,2.29,5525,182
"450","2014-11-26","transport",5938,16.816,0,0
"451","2014-11-27","walking",2652,1.868,3979,149
"452","2014-11-27","transport",12816,47.913,0,0
"453","2014-11-28","walking",2217,1.513,3282,120
"454","2014-11-28","transport",3225,6.601,0,0
"455","2014-11-29","walking",2225,1.152,3192,92
"456","2014-11-29","transport",4232,14.033,0,0
"457","2014-11-30","walking",1693,0.964,2548,77
"458","2014-11-30","transport",1069,2.243,0,0
"459","2014-12-01","walking",2849,1.999,4341,159
"460","2014-12-01","transport",4224,9.467,0,0
"461","2014-12-02","walking",1865,0.992,2497,79
"462","2014-12-02","transport",3681,10.039,0,0
"463","2014-12-03","walking",3512,2.354,5129,187
"464","2014-12-03","transport",3986,8.66,0,0
"465","2014-12-04","walking",2822,2,4485,159
"466","2014-12-04","transport",3164,8.914,0,0
"467","2014-12-05","walking",5516,3.977,8757,316
"468","2014-12-05","transport",2922,8.124,0,0
"469","2014-12-06","walking",3540,2.541,5182,202
"470","2014-12-06","transport",5611,13.821,0,0
"471","2014-12-07","walking",5222,3.372,7555,268
"472","2014-12-07","transport",4850,15.256,0,0
"473","2014-12-08","walking",4180,2.984,6384,237
"474","2014-12-08","transport",3702,11.443,0,0
"475","2014-12-09","walking",2518,1.628,3642,129
"476","2014-12-09","transport",3297,10.059,0,0
"477","2014-12-10","walking",5689,4.03,8781,321
"478","2014-12-10","transport",7377,21.509,0,0
"479","2014-12-11","walking",2992,2.057,4413,164
"480","2014-12-11","transport",4822,16.843,0,0
"481","2014-12-12","walking",1813,1.138,2565,90
"482","2014-12-12","transport",2172,3.823,0,0
"483","2014-12-13","walking",3314,2.608,5234,207
"484","2014-12-13","transport",3458,8.472,0,0
"485","2014-12-14","walking",4219,2.36,5645,188
"486","2014-12-14","transport",4427,9.871,0,0
"487","2014-12-15","walking",3460,2.343,4904,186
"488","2014-12-15","transport",5888,17.226,0,0
"489","2014-12-15","running",210,0.343,543,33
"490","2014-12-16","walking",4180,3.029,6508,241
"491","2014-12-16","transport",3184,11.457,0,0
"492","2014-12-17","walking",2795,1.637,3649,130
"493","2014-12-17","transport",3646,10.407,0,0
"494","2014-12-18","walking",4621,3.191,6902,254
"495","2014-12-18","transport",5870,16.459,0,0
"496","2014-12-19","walking",3670,2.331,5240,185
"497","2014-12-19","transport",5095,13.1,0,0
"498","2014-12-20","walking",1210,0.584,1465,46
"499","2014-12-20","transport",2465,10.822,0,0
"500","2014-12-21","walking",6302,4.196,9256,334
"501","2014-12-21","transport",1922,3.923,0,0
"502","2014-12-21","running",237,0.301,0,12
"503","2014-12-22","walking",1543,0.916,2134,73
"504","2014-12-22","transport",5315,44.718,0,0
"505","2014-12-23","walking",1003,0.473,1010,38
"506","2014-12-23","transport",662,2.006,0,0
"507","2014-12-24","walking",2941,1.852,3989,147
"508","2014-12-24","transport",3071,9.469,0,0
"509","2014-12-25","walking",2018,1.248,2755,99
"510","2014-12-25","transport",2403,6.695,0,0
"511","2014-12-26","walking",841,0.458,1168,36
"512","2014-12-26","transport",1974,5.472,0,0
"513","2014-12-27","walking",2689,1.768,4000,141
"514","2014-12-27","transport",3832,11.9,0,0
"515","2014-12-28","walking",2826,1.853,4231,147
"516","2014-12-28","transport",6872,48.683,0,0
"517","2014-12-29","walking",3366,2.348,5186,187
"518","2014-12-29","transport",4347,15.685,0,0
"519","2014-12-30","walking",5489,3.619,8229,288
"520","2014-12-30","transport",4953,11.86,0,0
"521","2014-12-31","walking",2772,1.866,4120,148
"522","2014-12-31","transport",5211,15.991,0,0
"523","2014-12-31","running",3000,0,7500,445
"524","2015-01-01","walking",2268,2.013,3371,160
"525","2015-01-01","transport",4346,26.098,0,0
"526","2015-01-02","transport",1225,7.248,0,0
"527","2015-01-02","walking",160,0.102,234,8
"528","2015-01-03","walking",3442,2.232,5080,178
"529","2015-01-03","transport",5873,45.866,0,0
"530","2015-01-04","walking",6162,5.09,10513,405
"531","2015-01-05","walking",3333,2.313,5218,184
"532","2015-01-05","transport",5209,12.084,0,0
"533","2015-01-05","running",230,0.247,461,25
"534","2015-01-06","walking",4219,3.017,6356,240
"535","2015-01-06","transport",5090,15.322,0,0
"536","2015-01-07","walking",4385,3.716,7270,296
"537","2015-01-07","transport",7161,19.739,0,0
"538","2015-01-07","running",150,0.213,372,21
"539","2015-01-08","walking",1642,0.95,2111,76
"540","2015-01-08","transport",3485,13.627,0,0
"541","2015-01-09","walking",5482,3.418,7511,272
"542","2015-01-09","transport",12842,34.802,0,0
"543","2015-01-09","running",278,0.443,696,43
"544","2015-01-10","walking",2401,1.607,3389,128
"545","2015-01-10","transport",3359,14.26,0,0
"546","2015-01-16","walking",1424,1.039,2217,83
"547","2015-01-17","walking",2775,1.99,4069,158
"548","2015-01-17","transport",2652,5.915,0,0
"549","2015-01-18","walking",6990,5.72,11574,455
"550","2015-01-18","transport",929,1.902,0,0
"551","2015-01-19","walking",1735,1.23,2418,98
"552","2015-01-20","walking",4422,3.045,6658,242
"553","2015-01-20","transport",2774,7.095,0,0
"554","2015-01-21","walking",2839,1.877,4194,149
"555","2015-01-21","transport",3105,6.377,0,0
"556","2015-01-22","walking",2800,1.818,4039,145
"557","2015-01-22","transport",3779,9.412,0,0
"558","2015-01-23","walking",4692,4.208,7480,335
"559","2015-01-23","transport",3204,11.009,0,0
"560","2015-01-23","running",1994,2.523,4268,249
"561","2015-01-24","walking",4672,3.135,6788,249
"562","2015-01-24","transport",2643,5.716,0,0
"563","2015-01-25","walking",3043,2.049,4477,163
